customer_city,delivery_delay,geolocation_lat,geolocation_lng,seller_city,seller_state,price
Palotina,-12.0,-24.28385072395331,-53.838069001583065,Palotina,PR,9.99
Macatuba,-13.833333333333334,-22.514469160938607,-48.71708672695421,Macatuba,SP,13.0
Jarinu,-13.055555555555555,-23.096673765346946,-46.71740337428802,Jarinu,SP,14.63
Bom Jesus Dos Perdoes,-11.294117647058824,-23.13616058232984,-46.46885246046591,Bom Jesus Dos Perdoes,SP,19.9
,,,,Floranopolis,SC,19.98
Resende,-8.854870449327649,-22.47352613487475,-44.47373361692896,Resende,RJ,19.99
,,,,Cascavael,PR,21.99
Barro Alto,-16.46808510638298,-13.470367256306645,-45.634686168820224,Barro Alto,BA,23.9
Condor,-25.0,-28.207409428992108,-53.48493774473991,Condor,RS,24.9
Brotas,-14.916666666666666,-22.281994475802833,-48.12501314132326,Brotas,SP,25.0
Goioere,-17.818181818181817,-24.185834485083557,-53.02532749670743,Goioere,SP,27.9
Tambau,-10.263157894736842,-21.70530822395203,-47.274983522400234,Tambau,SP,29.8
Sapiranga,-13.824525397639816,-29.637325055292525,-51.006125748831955,Sapiranga,RS,29.9
Uruguaiana,-17.32510535821794,-29.762168382547788,-57.08237766045287,Uruguaiana,RS,29.99
,,,,Guaimbe,SP,29.99
Belford Roxo,-13.486520376175548,-22.741986610153944,-43.38731748109046,Belford Roxo,RJ,30.0
,,,,Aguas Claras Df,SP,35.0
Barrinha,-4.388888888888889,-21.190972771076314,-48.15635253001892,Barrinha,SP,36.49
Sao Miguel Do Oeste,-14.384615384615385,-26.733554850740855,-53.51823802125551,Sao Miguel Do Oeste,SC,39.0
,,,,Juzeiro Do Norte,CE,39.9
Uniao Da Vitoria,-14.062978560490047,-26.229700175065027,-51.08510932633284,Uniao Da Vitoria,PR,41.9
Pinhalzinho,-9.432291666666666,-24.687318693860504,-49.588141338288985,Pinhalzinho,SP,43.8
,,,,Maua/Sao Paulo,SP,44.99
Avare,-11.81617168870583,-23.100579920930528,-48.92387952193353,Avare,SP,47.4
Sao Paulo,-10.482121630782231,-23.574889396670052,-46.61784824576627,Sao Paulo,SP,47.8
Imigrante,-15.0,-29.343596579646217,-51.76487464442068,Imigrante,RS,48.9
,,,,Angra Dos Reis Rj,RJ,49.0
Pouso Alegre,-14.411199095022624,-22.235558001538614,-45.93377441947889,Pouso Alegre,MG,49.9
Guaratingueta,-12.026546865427813,-22.801251859542894,-45.19232890199796,Guaratingueta,SP,49.99
Cianorte,-14.782813728058684,-23.656820709803007,-52.60932411753892,Cianorte,PR,51.9
Rio De Janeiro,-13.160331297208248,-22.924747893019667,-43.311169077645744,Rio De Janeiro,RN,52.0
,,,,Mogi Das Cruzes / Sp,SP,54.0
Oliveira,-12.636363636363637,-20.698539111736665,-44.826747744809545,Oliveira,MG,57.0
,,,,Cordilheira Alta,SC,57.99
,,,,Robeirao Preto,SP,60.0
